Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-07-26,247.75,247.79,247.13,247.43,44669097.0,0.00,1.00,247.75000000,247.79000000,247.13000000,247.43000000,44669097.0
2017-07-25,247.68,247.80,247.16,247.42,52685280.0,0.00,1.00,247.68000000,247.80000000,247.16000000,247.42000000,52685280.0
2017-07-24,246.79,246.98,246.28,246.82,44565029.0,0.00,1.00,246.79000000,246.98000000,246.28000000,246.82000000,44565029.0
2017-07-21,246.44,246.91,246.18,246.88,82340759.0,0.00,1.00,246.44000000,246.91000000,246.18000000,246.88000000,82340759.0
2017-07-20,247.28,247.42,246.47,247.10,43011325.0,0.00,1.00,247.28000000,247.42000000,246.47000000,247.10000000,43011325.0
2017-07-19,246.02,247.00,246.01,246.99,50215934.0,0.00,1.00,246.02000000,247.00000000,246.01000000,246.99000000,50215934.0
2017-07-18,245.06,245.72,244.67,245.66,39630329.0,0.00,1.00,245.06000000,245.72000000,244.67000000,245.66000000,39630329.0
2017-07-17,245.47,245.91,245.33,245.53,28237395.0,0.00,1.00,245.47000000,245.91000000,245.33000000,245.53000000,28237395.0
2017-07-14,244.43,245.97,244.31,245.56,54079677.0,0.00,1.00,244.43000000,245.97000000,244.31000000,245.56000000,54079677.0
2017-07-13,244.02,244.55,243.76,244.42,35508942.0,0.00,1.00,244.02000000,244.55000000,243.76000000,244.42000000,35508942.0
2017-07-12,243.30,244.20,243.30,244.01,51695938.0,0.00,1.00,243.30000000,244.20000000,243.30000000,244.01000000,51695938.0
2017-07-11,242.16,242.55,240.85,242.19,48975902.0,0.00,1.00,242.16000000,242.55000000,240.85000000,242.19000000,48975902.0
2017-07-10,241.95,242.80,241.76,242.37,35879934.0,0.00,1.00,241.95000000,242.80000000,241.76000000,242.37000000,35879934.0
2017-07-07,241.21,242.28,240.56,242.11,56062009.0,0.00,1.00,241.21000000,242.28000000,240.56450000,242.11000000,56062009.0
2017-07-06,241.89,242.03,240.34,240.55,65400802.0,0.00,1.00,241.89000000,242.03000000,240.34000000,240.55000000,65400802.0
2017-07-05,242.63,243.01,241.70,242.77,53549075.0,0.00,1.00,242.63000000,243.01000000,241.70000000,242.77000000,53549075.0
2017-07-03,242.88,243.38,242.21,242.21,39147185.0,0.00,1.00,242.88000000,243.38000000,242.21000000,242.21000000,39147185.0
2017-06-30,242.28,242.71,241.57,241.80,69340147.0,0.00,1.00,242.28000000,242.71000000,241.57500000,241.80000000,69340147.0
2017-06-29,243.66,243.72,239.96,241.35,103933022.0,0.00,1.00,243.66000000,243.72000000,239.95500000,241.35000000,103933022.0
2017-06-28,242.50,243.72,242.23,243.49,66047614.0,0.00,1.00,242.50000000,243.71500000,242.23000000,243.49000000,66047614.0
2017-06-27,243.04,243.38,241.31,241.33,79342663.0,0.00,1.00,243.04000000,243.38000000,241.31000000,241.33000000,79342663.0
2017-06-26,243.90,244.38,243.04,243.29,56700477.0,0.00,1.00,243.90000000,244.38000000,243.04500000,243.29000000,56700477.0
2017-06-23,242.91,243.51,242.47,243.13,65574788.0,0.00,1.00,242.91000000,243.51000000,242.47000000,243.13000000,65574788.0
2017-06-22,242.96,243.53,242.64,242.84,40877023.0,0.00,1.00,242.96000000,243.53000000,242.64000000,242.84000000,40877023.0
2017-06-21,243.42,243.59,242.41,242.95,54988453.0,0.00,1.00,243.42000000,243.59000000,242.41000000,242.95000000,54988453.0
2017-06-20,244.25,244.26,242.99,243.01,55171317.0,0.00,1.00,244.25000000,244.26000000,242.99000000,243.01000000,55171317.0
2017-06-19,243.59,244.73,243.48,244.66,62688820.0,0.00,1.00,243.59000000,244.73000000,243.48000000,244.66000000,62688820.0
2017-06-16,242.77,242.83,241.63,242.64,84553097.0,0.00,1.00,242.77000000,242.83000000,241.63370000,242.64000000,84553097.0
2017-06-15,242.68,243.91,242.36,243.77,66464888.0,0.00,1.00,242.68000000,243.91000000,242.36000000,243.77000000,66464888.0
2017-06-14,244.86,244.87,243.29,244.24,78362908.0,0.00,1.00,244.86000000,244.87000000,243.29000000,244.24000000,78362908.0
2017-06-13,243.98,244.61,243.58,244.55,60066953.0,0.00,1.00,243.98000000,244.61000000,243.57990000,244.55000000,60066953.0
2017-06-12,243.13,243.42,242.38,243.36,86076330.0,0.00,1.00,243.13000000,243.42000000,242.38000000,243.36000000,86076330.0
2017-06-09,244.09,245.01,241.95,243.41,132256362.0,0.00,1.00,244.09000000,245.01000000,241.95000000,243.41000000,132256362.0
2017-06-08,243.77,244.33,243.17,243.78,65950691.0,0.00,1.00,243.77000000,244.33000000,243.17000000,243.78000000,65950691.0
2017-06-07,243.60,243.92,242.83,243.66,51387912.0,0.00,1.00,243.60000000,243.92000000,242.83000000,243.66000000,51387912.0
2017-06-06,243.34,243.98,243.12,243.21,49410460.0,0.00,1.00,243.34000000,243.98000000,243.12000000,243.21000000,49410460.0
2017-06-05,243.97,244.30,243.76,243.99,35907854.0,0.00,1.00,243.97000000,244.30000000,243.76000000,243.99000000,35907854.0
2017-06-02,243.42,244.35,243.08,244.17,66506966.0,0.00,1.00,243.42000000,244.35000000,243.08000000,244.17000000,66506966.0
2017-06-01,241.97,243.38,241.64,243.36,66864435.0,0.00,1.00,241.97000000,243.38000000,241.64000000,243.36000000,66864435.0
2017-05-31,241.84,241.88,240.64,241.44,85083972.0,0.00,1.00,241.84000000,241.88000000,240.64000000,241.44000000,85083972.0
2017-05-30,241.34,241.79,241.16,241.50,33986744.0,0.00,1.00,241.34000000,241.79000000,241.16000000,241.50000000,33986744.0
2017-05-26,241.54,241.90,241.45,241.71,43404538.0,0.00,1.00,241.54000000,241.90000000,241.45000000,241.71000000,43404538.0
2017-05-25,241.20,242.08,240.96,241.76,62492771.0,0.00,1.00,241.20000000,242.08000000,240.96000000,241.76000000,62492771.0
2017-05-24,240.32,240.73,239.93,240.61,46927683.0,0.00,1.00,240.32000000,240.73000000,239.93000000,240.61000000,46927683.0
2017-05-23,239.95,240.24,239.51,240.05,47340574.0,0.00,1.00,239.95000000,240.24000000,239.51000000,240.05000000,47340574.0
2017-05-22,238.90,239.71,238.82,239.52,60474813.0,0.00,1.00,238.90000000,239.71000000,238.82000000,239.52000000,60474813.0
2017-05-19,237.33,239.08,237.27,238.31,115011373.0,0.00,1.00,237.33000000,239.08000000,237.27000000,238.31000000,115011373.0
2017-05-18,235.73,237.75,235.43,236.77,107047656.0,0.00,1.00,235.73000000,237.75000000,235.43000000,236.77000000,107047656.0
2017-05-17,238.10,238.64,235.75,235.82,172174107.0,0.00,1.00,238.10000000,238.64000000,235.75000000,235.82000000,172174107.0
2017-05-16,240.64,240.67,239.63,240.08,51241791.0,0.00,1.00,240.64000000,240.67000000,239.63000000,240.08000000,51241791.0
2017-05-15,239.47,240.44,239.45,240.30,61872134.0,0.00,1.00,239.47000000,240.44000000,239.45000000,240.30000000,61872134.0
2017-05-12,239.09,239.43,238.67,238.98,53912730.0,0.00,1.00,239.09000000,239.42730000,238.67000000,238.98000000,53912730.0
2017-05-11,239.35,239.57,238.13,239.38,62358346.0,0.00,1.00,239.35000000,239.57000000,238.13000000,239.38000000,62358346.0
2017-05-10,239.39,239.87,239.15,239.87,54293799.0,0.00,1.00,239.39000000,239.87000000,239.15000000,239.87000000,54293799.0
2017-05-09,239.96,240.19,239.04,239.44,51363200.0,0.00,1.00,239.96000000,240.19000000,239.04000000,239.44000000,51363200.0
2017-05-08,239.75,239.92,239.17,239.66,48385730.0,0.00,1.00,239.75000000,239.92000000,239.17000000,239.66000000,48385730.0
2017-05-05,239.19,239.72,238.68,239.70,62001269.0,0.00,1.00,239.19000000,239.72000000,238.68000000,239.70000000,62001269.0
2017-05-04,238.83,238.92,237.78,238.76,61443570.0,0.00,1.00,238.83000000,238.92250000,237.78000000,238.76000000,61443570.0
2017-05-03,238.29,238.88,237.70,238.48,72899793.0,0.00,1.00,238.29000000,238.87750000,237.70000000,238.48000000,72899793.0
2017-05-02,238.84,238.98,238.30,238.77,57375732.0,0.00,1.00,238.84000000,238.98000000,238.30000000,238.77000000,57375732.0
2017-05-01,238.68,239.17,238.19,238.68,66882521.0,0.00,1.00,238.68000000,239.17000000,238.19500000,238.68000000,66882521.0
2017-04-28,238.90,238.93,237.93,238.08,63532845.0,0.00,1.00,238.90000000,238.93000000,237.93000000,238.08000000,63532845.0
2017-04-27,238.77,238.95,237.98,238.60,57410326.0,0.00,1.00,238.77000000,238.95000000,237.98000000,238.60000000,57410326.0
2017-04-26,238.51,239.53,238.35,238.40,84702455.0,0.00,1.00,238.51000000,239.53000000,238.35000000,238.40000000,84702455.0
